"radioMode:vector manet.host[0].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
7.625879339979,2
7.626194339979,3
7.626364339979,2
7.626521950795,3
7.626771950795,2
7.627204950795,3
7.627454950795,2
7.627797950795,3
7.628047950795,2
7.628939950795,3
7.629189950795,2
7.631242950795,3
7.631492950795,2
7.631551561286,3
7.631709561286,2
7.632160171756,3
7.632318171756,2
7.632714171756,3
7.632872171756,2
7.633898171756,3
7.634056171756,2
7.63413278208,3
7.63438278208,2
7.63475278208,3
7.63500278208,2
7.63576878208,3
7.63601878208,2
7.636077392281,3
7.636235392281,2
7.636361392281,3
7.636519392281,2
7.636641002447,3
7.636891002447,2
7.636949612592,3
7.637107612592,2
7.637377612592,3
7.637535612592,2
7.637886612592,3
7.638044612592,2
7.638166222661,3
7.638416222661,2
7.638939222661,3
7.639189222661,2
7.639901222661,3
7.640151222661,2
7.641340222661,3
7.641590222661,2
7.643031222661,3
7.643281222661,2
7.643339832397,3
7.643497832397,2
7.643664442117,3
7.643834442117,2
7.64415844211,3
7.64432844211,2
7.64449944211,3
7.64466944211,2
7.64559644211,3
7.64576644211,2
7.64610844211,3
7.64627844211,2
7.64708844211,3
7.64725844211,2
7.65090344211,3
7.65107344211,2
7.65121744211,3
7.65146744211,2
7.65178344211,3
7.65203344211,2
7.65249344211,3
7.65274344211,2
7.65410344211,3
7.65435344211,2
7.654412051139,3
7.654570051139,2
7.654831051139,3
7.654989051139,2
7.655232051139,3
7.655390051139,2
7.656236051139,3
7.656394051139,2
7.657681051139,3
7.657839051139,2
7.661613659934,3
7.661771659934,2
7.670682045924,3
7.670840045924,2
7.670966045924,3
7.671216045924,2
7.671712045924,3
7.671962045924,2
7.672764045924,3
7.673014045924,2
7.674600114652,3
7.674850114652,2
7.676003114614,3
7.676253114614,2
7.680313114614,3
7.680563114614,2
7.680870114614,3
7.681120114614,2
7.681178721937,3
7.681336721937,2
7.68187732924,3
7.68203532924,2
7.68227832924,3
7.68243632924,2
7.683831936467,3
7.683989936467,2
7.684925936467,3
7.685083936467,2
7.687751936353,3
7.687909936353,2
7.697101392838,3
7.697259392838,2
7.697992454934,3
7.698242454934,2
7.698843347652,3
7.699093347652,2
7.700036061136,3
7.700286061136,2
7.700344667241,3
7.700502667241,2
7.700772667241,3
7.700930667241,2
7.701020667241,3
7.701178667241,2
7.702159667241,3
7.702317667241,2
7.702920667241,3
7.703078667241,2
7.705580667241,3
7.705738667241,2
7.707880667241,3
7.708038667241,2
7.708128667241,3
7.708378667241,2
7.708919667241,3
7.709169667241,2
7.709917667241,3
7.710167667241,2
7.710226272719,3
7.710384272719,2
7.710717272719,3
7.710875272719,2
7.711280272719,3
7.711438272719,2
7.714114331059,3
7.714272331059,2
7.716479330991,3
7.716637330991,2
7.719993613188,3
7.720151613188,2
7.728560668598,3
7.728718668598,2
7.728799668598,3
7.728969668598,2
7.729082272883,3
7.729332272883,2
7.729864272883,3
7.730114272883,2
7.730826272883,3
7.731076272883,2
7.732506272792,3
7.732756272792,2
7.734653876816,3
7.734903876816,2
7.734962480728,3
7.735120480728,2
7.735471480728,3
7.735629480728,2
7.736016480728,3
7.736174480728,2
7.736948480728,3
7.737106480728,2
7.741140532166,3
7.741298532166,2
7.743776532114,3
7.743934532114,2
7.746031532114,3
7.746189532114,2
7.746396532114,3
7.746646532114,2
7.746705135284,3
7.746863135284,2
7.746953135284,3
7.747111135284,2
7.747588135284,3
7.747746135284,2
7.747903738382,3
7.748153738382,2
7.748212341458,3
7.748370341458,2
