"datarateSelected:vector manet.host[0].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
9.945820292024,54000000
9.950280292024,54000000
9.954299292024,54000000
9.955432292024,54000000
9.965016292024,54000000
9.973178292024,54000000
9.979198292024,54000000
9.986568292024,54000000
9.995171292024,54000000
10.001092292024,54000000
10.006551292024,54000000
10.014773292024,54000000
10.021699292024,54000000
10.024720166904,54000000
10.033698166904,54000000
10.038923166904,54000000
10.039187572729,54000000
10.039573572729,54000000
10.040720414648,54000000
10.041844414648,54000000
10.044237414648,54000000
10.049015414648,54000000
10.056979414648,54000000
10.057311414648,54000000
10.057904414648,54000000
10.058839414648,54000000
10.059387414648,54000000
10.060457414648,54000000
10.062589414648,54000000
10.066278414648,54000000
10.075241414648,54000000
10.076569414648,54000000
10.076898414648,54000000
10.086193819254,54000000
10.090455819254,54000000
10.097759819254,54000000
10.104496819254,54000000
10.105455819254,54000000
10.106876819254,54000000
10.115515819254,54000000
10.123920819254,54000000
10.125692819254,54000000
10.132981819254,54000000
10.133283222068,54000000
10.133541222068,54000000
10.133906222068,54000000
10.134829222068,54000000
10.135734222068,54000000
10.138799222068,54000000
10.147741222068,54000000
10.147998222068,54000000
10.148299624406,54000000
10.148602624406,54000000
10.148922624406,54000000
10.149494624406,54000000
10.151016435913,54000000
10.155809435913,54000000
10.158199435913,54000000
10.158510435913,54000000
10.159184435913,54000000
10.159777435913,54000000
10.161441435913,54000000
10.163879435913,54000000
10.168819435913,54000000
10.174065435913,54000000
10.177808435913,54000000
10.17815383731,54000000
10.17861183731,54000000
10.17888083731,54000000
10.179870802164,54000000
10.181381802164,54000000
10.185007802164,54000000
10.192053802164,54000000
10.192304802164,54000000
10.192888802164,54000000
10.193634802164,54000000
10.194335802164,54000000
10.194910802164,54000000
10.195212203022,54000000
10.195578203022,54000000
10.196348203022,54000000
10.197127203022,54000000
10.197618203022,54000000
10.199909203022,54000000
10.207283559496,54000000
10.207621559496,54000000
10.208367559496,54000000
10.209302559496,54000000
10.210102559496,54000000
10.211379559496,54000000
10.216355559496,54000000
10.220611559496,54000000
10.221888559496,54000000
10.222631559496,54000000
10.222913959487,54000000
10.223542959487,54000000
10.224072959487,54000000
10.225536359422,54000000
10.226777359422,54000000
10.228225359422,54000000
10.230996359422,54000000
10.231607359422,54000000
10.231981359422,54000000
10.232535359422,54000000
10.233881359422,54000000
10.23498175906,54000000
10.23536475906,54000000
10.23640475906,54000000
10.243469097346,54000000
10.249030097346,54000000
10.258308097346,54000000
10.263167097346,54000000
10.268449097346,54000000
10.276917097346,54000000
10.280696097346,54000000
10.289182097346,54000000
10.291302097346,54000000
10.291928097346,54000000
10.293391097346,54000000
10.297275097346,54000000
10.304345097346,54000000
10.304980097346,54000000
10.313562097346,54000000
10.313957097346,54000000
10.317043097346,54000000
10.321218097346,54000000
10.321476494279,54000000
10.322078494279,54000000
10.322635494279,54000000
10.323939494279,54000000
10.326161494279,54000000
10.328230494279,54000000
10.329687494279,54000000
10.330289494279,54000000
10.330717494279,54000000
10.331460494279,54000000
10.332803890896,54000000
10.33425989087,54000000
10.338919890831,54000000
10.346623814913,54000000
10.348482814913,54000000
10.353665814913,54000000
10.359667814913,54000000
10.366173814913,54000000
10.369700814913,54000000
10.372579814913,54000000
10.379958814913,54000000
10.387157814913,54000000
10.391284814913,54000000
10.400199814913,54000000
10.403417814913,54000000
10.403790209336,54000000
10.404518209336,54000000
10.405345209336,54000000
10.405992209336,54000000
10.407710209336,54000000
10.408447209336,54000000
10.414872209336,54000000
10.415474209336,54000000
10.415911209336,54000000
10.416456209336,54000000
10.417082209336,54000000
10.419409209336,54000000
10.424094209336,54000000
10.427825209336,54000000
10.429072209336,54000000
10.431168209336,54000000
10.440266209336,54000000
10.445584209336,54000000
10.452621209336,54000000
10.455725209336,54000000
10.457623209336,54000000
10.464579209336,54000000
10.466843209336,54000000
10.474939209336,54000000
10.483764209336,54000000
10.493093209336,54000000
10.500730209336,54000000
10.509105209336,54000000
10.510991209336,54000000
10.518892209336,54000000
10.520781209336,54000000
10.521048600238,54000000
10.522108600227,54000000
10.522674600227,54000000
10.523276600227,54000000
10.523577991053,54000000
10.523934991053,54000000
10.524209991053,54000000
10.524511991053,54000000
10.528048381841,54000000
10.529295698885,54000000
10.535087698885,54000000
10.535407698885,54000000
10.535991698885,54000000
10.536293089335,54000000
10.536623089335,54000000
10.537033089335,54000000
10.537731089335,54000000
10.539050089335,54000000
10.539505089335,54000000
10.540851089335,54000000
10.541090089335,54000000
10.541391479633,54000000
10.541665869924,54000000
10.542249869924,54000000
10.543148869924,54000000
10.544623869924,54000000
10.547567354878,54000000
10.551161744954,54000000
10.555093744954,54000000
10.555722744954,54000000
10.556177744954,54000000
10.556487134808,54000000
10.556999134808,54000000
10.557367134808,54000000
10.558032134808,54000000
10.558922134808,54000000
10.563646315421,54000000
10.564257315421,54000000
10.564571315421,54000000
10.564872705027,54000000
10.565157705027,54000000
10.565675705027,54000000
10.566373705027,54000000
10.567620575441,54000000
10.568606575441,54000000
10.577359575441,54000000
10.577643575441,54000000
10.578218575441,54000000
10.579171575441,54000000
10.580142575441,54000000
10.581923575441,54000000
10.586143575441,54000000
10.587411575441,54000000
10.594475575441,54000000
10.600150575441,54000000
10.600522964003,54000000
10.601061964003,54000000
10.601762964003,54000000
10.603468736639,54000000
10.604943736639,54000000
10.607039736639,54000000
10.609783736639,54000000
10.610349736639,54000000
10.610777736639,54000000
10.611984421969,54000000
10.613068718858,54000000
10.615287718858,54000000
10.615994718858,54000000
10.624729718858,54000000
10.632645718858,54000000
10.638206718858,54000000
10.638508106308,54000000
10.638865106308,54000000
10.639329106308,54000000
10.639829106308,54000000
10.640788106308,54000000
10.645603783534,54000000
10.64826250256,54000000
10.648862904564,54000000
10.649484291702,54000000
10.649726291702,54000000
10.650292291702,54000000
10.653002656227,54000000
10.653252043249,54000000
10.653863043249,54000000
10.654789043249,54000000
10.656408043249,54000000
10.658072043249,54000000
10.662895043249,54000000
10.663605043249,54000000
10.663906429963,54000000
10.664317429963,54000000
10.665024429963,54000000
10.666035429936,54000000
10.666371816581,54000000
10.66722081657,54000000
10.668432816557,54000000
10.669286816557,54000000
10.671417090943,54000000
10.673504978778,54000000
10.673806365206,54000000
10.6744443652,54000000
10.6748903652,54000000
10.6757233652,54000000
10.678942734372,54000000
10.680549734372,54000000
10.689920856898,54000000
10.690239242853,54000000
10.690540628797,54000000
10.690906628797,54000000
10.691791014723,54000000
10.693083014723,54000000
10.694798014723,54000000
10.695118014723,54000000
10.703844014723,54000000
10.704128014723,54000000
10.704429400269,54000000
10.704694785807,54000000
10.705242785805,54000000
