"packetReceivedFromPeerWithoutRetry:vector(packetBytes) manet.host[1].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
33.657947995163,14
33.668641709767,92
33.785035795858,1500
33.786206607511,1500
33.824791512076,864
33.910943221388,864
33.95308222043,1500
33.973504117234,864
34.014025116311,864
34.377955141796,944
34.517072016279,1500
34.608711758297,864
34.710595620702,1500
34.72464934772,1500
34.739823347375,864
34.747725209336,1500
34.788964208402,864
34.805565067551,1500
34.832036066951,944
34.839841924756,104
34.840702782687,110
34.840911782682,122
34.846208927769,110
34.84721680678,122
34.849106950849,116
34.864039152885,1500
34.864259868276,864
34.867520307314,864
34.886233051263,1500
34.906500330706,864
34.910236632426,1500
34.917667555848,864
34.927921774842,92
34.937385657526,98
34.939982850839,110
34.943825909093,122
34.943954524076,116
34.947127047794,110
34.950433976693,122
34.958018296438,122
34.964838138731,122
34.9661275221,110
34.968110779861,86
34.968444064024,116
34.970295885984,116
34.977810686216,122
34.979063387126,122
34.980803474261,122
34.983177630105,14
